id;merchant_reference;amount;created_at
e653f3e14bc4;padberg_group;102.29;2023-02-01
20b674c93ea6;padberg_group;433.21;2023-02-01
0b73fb1d3332;padberg_group;194.37;2023-02-01
9164f0688190;padberg_group;371.33;2023-02-01
04e9b88fe8c7;padberg_group;280.21;2023-02-01
b1804a279eea;padberg_group;353.65;2023-02-01
3ddec341c149;padberg_group;51.78;2023-02-01
febc73d466f3;padberg_group;465.19;2023-02-01
36a7ae97dad2;padberg_group;411.22;2023-02-01
a948cc2344d1;padberg_group;30.46;2023-02-01
f8b49b90a40b;padberg_group;79.52;2023-02-01
80ee4ab29774;padberg_group;60.02;2023-02-01
3ddd92ec8567;padberg_group;445.19;2023-02-01
a477663eb826;padberg_group;494.95;2023-02-01
cb8b09f9e37c;padberg_group;121.33;2023-02-01
064f2190de0f;padberg_group;445.0;2023-02-01
df06d39a6ab6;padberg_group;312.66;2023-02-01
6c0763c2aac1;padberg_group;472.31;2023-02-01
b52c37666366;padberg_group;334.9;2023-02-01
dd85c88d2b77;padberg_group;44.89;2023-02-02
adaf77dffa91;padberg_group;72.44;2023-02-02
e3926a273411;padberg_group;280.34;2023-02-02
1b32fb868555;padberg_group;97.9;2023-02-02
0a2f11f1ebc9;padberg_group;118.61;2023-02-02
829ee96ec2f2;padberg_group;86.11;2023-02-02
6b846ab2bed4;padberg_group;248.08;2023-02-02
433e0878783c;padberg_group;469.74;2023-02-02
3d9f983fa9f4;rosenbaum_parisian;92.04;2023-05-18
e6a4b8f7ceef;rosenbaum_parisian;49.51;2023-05-18
9fdcdb068bf7;rosenbaum_parisian;84.02;2023-05-18
b957e0972e1a;rosenbaum_parisian;83.36;2023-05-18
0e458f9d01f2;rosenbaum_parisian;54.22;2023-05-18
d7d2a07db04f;rosenbaum_parisian;83.48;2023-05-18
ce468f25c05c;rosenbaum_parisian;85.04;2023-05-18
4d4d1b9f0382;rosenbaum_parisian;67.64;2023-05-18
9dca545edcfe;rosenbaum_kerluke;443.09;2023-06-04
959bee41820f;rosenbaum_kerluke;308.3;2023-06-07
2de191eeadfe;rosenbaum_kerluke;36.02;2023-06-07
e236c7977cf1;rosenbaum_kerluke;68.47;2023-06-08
84adc17b2ecb;rosenbaum_kerluke;243.53;2023-06-08
ca71e9009a2d;rosenbaum_kerluke;37.87;2023-06-09
736f9b593daf;rosenbaum_kerluke;46.6;2023-06-10
9b6884899e17;rosenbaum_kerluke;232.02;2023-06-10
63f6a60b1f14;rosenbaum_kerluke;70.88;2023-06-12
182a9a4f06c0;rosenbaum_kerluke;423.62;2023-06-12
b1804bbafb29;rosenbaum_kerluke;367.02;2023-06-14
7410de4fe23c;rosenbaum_kerluke;93.86;2023-06-16
54486c92cbcd;rosenbaum_kerluke;59.0;2023-06-18
686e75ed451b;gerhold_cremin_and_brown;30.35;2023-06-19
0d6a04c5320a;gerhold_cremin_and_brown;88.57;2023-06-19
4fcd15187413;gerhold_cremin_and_brown;59.04;2023-06-19
ef3943bdb7b6;gerhold_cremin_and_brown;31.08;2023-06-19
d1fd9ca22f03;gerhold_cremin_and_brown;78.1;2023-06-19
df4f39c9ba16;gerhold_cremin_and_brown;49.78;2023-06-19
7e18abecda8a;gerhold_cremin_and_brown;90.83;2023-06-19
e539ace10a74;gerhold_cremin_and_brown;96.78;2023-06-19
530fef00648f;gerhold_cremin_and_brown;48.52;2023-06-19
109cea23da92;gerhold_cremin_and_brown;37.06;2023-06-19
aa1001960dbc;gerhold_cremin_and_brown;83.42;2023-06-19
353ab5e47d16;gerhold_cremin_and_brown;44.99;2023-06-19
368d57141293;gerhold_cremin_and_brown;36.86;2023-06-19
f88d77dc2eb6;gerhold_cremin_and_brown;43.05;2023-06-19
14cfa97c17d9;gerhold_cremin_and_brown;39.2;2023-06-19
a64dd0f65d83;gerhold_cremin_and_brown;48.16;2023-06-19
1dc80aa3a1a5;gerhold_cremin_and_brown;43.29;2023-06-19
618664a72847;gerhold_cremin_and_brown;73.56;2023-06-19
5b25067a580c;gerhold_cremin_and_brown;70.86;2023-06-19
f0fe2dd99fae;gerhold_cremin_and_brown;31.54;2023-06-19
e5395d706439;gerhold_cremin_and_brown;32.37;2023-06-19
f99e3703e735;gerhold_cremin_and_brown;71.4;2023-06-19
39fbc0fea790;gerhold_cremin_and_brown;70.15;2023-06-19
1bd613671562;gerhold_cremin_and_brown;83.87;2023-06-19
734dbd63a2e2;gerhold_cremin_and_brown;98.28;2023-06-20
e2ff56d2ad36;gerhold_cremin_and_brown;98.57;2023-06-20
3e2a2a42f5fc;gerhold_cremin_and_brown;43.69;2023-06-20
21dcdf2f4c6d;gerhold_cremin_and_brown;36.6;2023-06-20
94b1a225bffd;gerhold_cremin_and_brown;82.62;2023-06-20
0474d230a7ff;gerhold_cremin_and_brown;97.03;2023-06-20
6baab53a2adb;gerhold_cremin_and_brown;34.96;2023-06-20
480930f794da;gerhold_cremin_and_brown;56.72;2023-06-20
9b36d69fb185;gerhold_cremin_and_brown;38.59;2023-06-20
